Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
59891634,Smart Brevity: The Power of Saying More with Less (Revised and Updated),Jim Vandehei,"Vandehei, Jim","Mike Allen, Roy       Schwartz","=""1523516976""","=""9781523516971""",0,Workman Publishing Company,Hardcover,224,2022,2022,,2026/01/26,to-read,to-read (#11),to-read,,,,0,0
50183782,You Are an Artist: Assignments to Spark Creation,Sarah Urist Green,"Green, Sarah Urist",,"=""0241442893""","=""9780241442890""",0,Particular Books,Hardcover,243,2020,2020,,2026/01/26,to-read,to-read (#10),to-read,,,,0,0
223436601,"Careless People: A Cautionary Tale of Power, Greed, and Lost Idealism",Sarah Wynn-Williams,"Wynn-Williams, Sarah",,"=""1250391237""","=""9781250391230""",5,Flatiron Books,Hardcover,382,2025,2025,2026/01/25,2026/01/16,,,read,,,,1,0
222703189,When Gavin Met Stacey and Everything in Between,Ruth Jones,"Jones, Ruth",James Corden,"=""1529951593""","=""9781529951592""",0,Transworld Digital,Kindle Edition,295,2025,2025,,2026/01/23,to-read,to-read (#9),to-read,,,,0,0
60139504,How to Keep House While Drowning,K.C.  Davis,"Davis, K.C.",,"=""166800285X""","=""9781668002858""",0,S&S/Simon Element,Kindle Edition,151,2022,2022,,2026/01/23,to-read,to-read (#8),to-read,,,,0,0
223736225,We the People: A History of the U.S. Constitution,Jill Lepore,"Lepore, Jill",,"=""1631496085""","=""9781631496080""",0,Liveright,Hardcover,720,2025,2025,,2026/01/16,to-read,to-read (#7),to-read,,,,0,0
219520719,The Brain at Rest: How the Art and Science of Doing Nothing Can Improve Your Life,Joseph Jebelli,"Jebelli, Joseph",,"=""0593474643""","=""9780593474648""",0,Dutton,Hardcover,288,2025,2025,,2026/01/16,to-read,to-read (#6),to-read,,,,0,0
199793344,"Motherland: A Feminist History of Modern Russia, from Revolution to Autocracy",Julia Ioffe,"Ioffe, Julia",,"=""006287912X""","=""9780062879127""",0,Ecco,Hardcover,512,2025,2025,,2026/01/16,to-read,to-read (#5),to-read,,,,0,0
241158806,The A Word: A Global History of the Abortion Struggle,Elizabeth Casillas,"Casillas, Elizabeth","Karen Simon, Higinia Garay","=""1779400985""","=""9781779400987""",0,University of Regina Press,Kindle Edition,168,2025,,,2026/01/16,to-read,to-read (#4),to-read,,,,0,0
218431676,Human Nature: Nine Ways to Feel About Our Changing Planet,Kate Marvel,"Marvel, Kate",,"=""0063241536""","=""9780063241534""",0,Ecco,Hardcover,304,2025,,,2026/01/16,to-read,to-read (#3),to-read,,,,0,0
222725518,Empire of AI: Dreams and Nightmares in Sam Altman's OpenAI,Karen Hao,"Hao, Karen",,"=""0593657519""","=""9780593657515""",0,Penguin Press,Kindle Edition,496,2025,2025,,2026/01/16,to-read,to-read (#2),to-read,,,,0,0
176444106,Abundance,Ezra Klein,"Klein, Ezra",Derek   Thompson,"=""1668023482""","=""9781668023488""",0,Avid Reader Press / Simon & Schuster,Hardcover,304,2025,2025,,2026/01/16,to-read,to-read (#1),to-read,,,,0,0
220341389,Everything Is Tuberculosis: The History and Persistence of Our Deadliest Infection,John Green,"Green, John",,"=""0525556575""","=""9780525556572""",5,Crash Course Books,Hardcover,198,2025,2025,2026/01/16,2026/01/03,,,read,,,,1,0
219551344,Who Is Government? The Untold Story of Public Service,Michael   Lewis,"Lewis, Michael","Casey Cep, Dave Eggers, John Lanchester, Geraldine Brooks, Sarah Vowell, W. Kamau Bell","=""""","=""9798217047802""",4,Riverhead Books,Hardcover,272,2025,2025,2026/01/03,2026/01/03,,,read,,,,1,0
